11;Наименование события;Наименование ставки;Коэф;Банкролл;Ставка, уе.;Результат;Выигрыш;Чистый выигрыш;Коммент;Ссылки;;
10 May 2016, 22:15;Tennis ? Italy ? ATP Rome ? Paire B. - Wawrinka S.;0:2 bet365;1,61;100000;4000;2;0;-4000;;;;
10 May 2016, 23:00;Теннис. Мужчины. Турнир ITF. Пачука. Мексика. Hard. Накагава Н. - Табило А.;П2 betcity;1,75;100000;3000;1;5250;2250;;;;
10 May 2016, 23:50;Теннис. Мужчины. Турнир ITF. Пачука. Мексика. Hard. Накагава Н. - Табило А. live (0:0*);П2 betcity;1,73;100000;10000;1;17300;7300;;;;
11 May 2016, 03:00;NBA ? San Antonio Spurs - Oklahoma City Thunder;Ф2(+12.5);1,4;100000;5000;1;7000;2000;;;;
11 May 2016, 03:00;USA ? NHL ? Pittsburgh Penguins - Washington Capitals;ИТ2Б(2) mbet;1,52;100000;5000;1;7600;2600;;;;
11 May 2016, 13:00;Tennis ? Italy ? ATP Rome ? Federer R. - Zverev A.;Ф1(-1.5 games) 1xbet;1,4;100000;5000;1;7000;2000;;;;
11 May 2016, 13:00;Tennis ? Italy ? ATP Rome ? Federer R. - Zverev A.;Ф1(-3 games) 1xbet;1,66;100000;2000;1;3320;1320;;http://www.oddsportal.com/tennis/italy/wta-rome/kvitova-petra-keys-madison-CbnYHnF5/;http://www.oddsportal.com/tennis/italy/wta-rome/puig-monica-ostapenko-jelena-pI5PxIRB/;
11 May 2016, 22:00;Э 1)Tennis ? Italy ? WTA Rome ? Kvitova P. - Keys M. 2)  Puig M. - Ostapenko J.;П1 * П1 mbet;2,7004;100000;3000;2;0;-3000;;;;
11 May 2016, 18:00;Handball ? Romania ? Liga Nationala ? Ploiesti - CSU Danubius Galati;ТБ(59.5) bwin;1,91;100000;3000;1;5730;2730;;"http://www.oddsportal.com/handball/romania/liga-nationala/csm-ploiesti-csu-danubius-galati-tvpBFTnM/#over-under;2;59.50;0";;
11 May 2016, 18:00;Soccer ? Ukraine ? Division 2 ? Desna - Cherkaskyi Dnipro;1-й тайм - Ничья bet365;1,67;100000;4000;1;6680;2680;;"http://www.oddsportal.com/soccer/ukraine/division-2/desna-cherkaskyi-dnipro-IRFxU5oG/#1X2;3";;
11 May 2016, 20:30;Tennis ? Italy ? ATP Rome ? Kohlschreiber P. - Nadal R.;0 : 2 по сетам betcity;1,52;100000;4000;1;6080;2080;;"http://www.oddsportal.com/tennis/italy/atp-rome/kohlschreiber-philipp-nadal-rafael-dz6OwDUe/#cs;2;9";;
11 May 2016, 17:00;Soccer ? Russia ? Premier League ? Ufa - CSKA Moscow;ИТ2Б(1.5) betcity;1,47;100000;5000;1;7350;2350;;http://www.oddsportal.com/soccer/russia/premier-league/ufa-cska-moscow-ID48m13s/;;
11 May 2016, 18:00;Tennis ? Italy ? ATP Rome Doubles ? Cuevas P./Granollers-Pujol M. - Rojer J./Tecau H.;П2 mbet;1,68;100000;4000;2;0;-4000;;http://www.oddsportal.com/tennis/italy/atp-rome-doubles/cuevas-pablo-granollers-pujol-marcel-rojer-jean-julien-tecau-horia-bijPlhem/;;
11 May 2016, 19:00;Э 1) Soccer ? Denmark ? Superliga ? Sonderjyske - Viborg 2) Soccer ? England ? Premier League ? Liverpool - Chelsea;Ф1(0) * TM (3.5) mbet;1,9656;100000;2500;1;4914;2414;;"http://www.oddsportal.com/soccer/denmark/superliga/sonderjyske-viborg-r36PS0tG/#ah;2;0.00;0";;
12 May 2016, 13:00;Tennis ? Italy ? ATP Rome ? Gasquet R. - Nishikori K.;П2 mbet;1,54;100000;5000;1;7700;2700;;http://www.oddsportal.com/tennis/italy/atp-rome/gasquet-richard-nishikori-kei-GI5AbhS4/;;
12 May 2016, 05:30;Basketball ? USA ? NBA ? Golden State Warriors - Portland Trail Blazers;ТБ(209.5) 5dimes;1,47;100000;8000;1;11760;3760;;;;
12 May 2016, 05:30;Basketball ? USA ? NBA ? Golden State Warriors - Portland Trail Blazers;ТБ(207.5) william hill;1,3;100000;10000;1;13000;3000;;;;
12 May 2016, 03:00;Basketball ? USA ? NBA ? Toronto Raptors - Miami Heat;TM(195.5) mbet;1,41;100000;5000;1;7050;2050;;;;
12 May 2016, 16:30;Tennis ? Italy ? ATP Rome ? Kyrgios N. - Nadal R.;Ф1(+5) pinnacle;1,44;100000;5000;3;5000;0;;"http://www.oddsportal.com/tennis/italy/atp-rome/kyrgios-nick-nadal-rafael-b3ETTzO6/#ah;2;5.00;2";;
12 May 2016, 13:00;Tennis ? Italy ? ATP Rome ? Federer R. - Thiem D.;П1 5dimes;1,56;100000;2000;2;0;-2000;;;;
12 May 2016, 11:00;Tennis ? Uzbekistan ? Samarkand Challenger ? Harris G. - Botzer B. T.;П1 mbet;1,7;100000;3000;1;5100;2100;;http://www.oddsportal.com/tennis/uzbekistan/samarkand-challenger/harris-lloyd-george-botzer-bar-tzuf-jJbqhfWM/;;
12 May 2016, 12:00;Tennis. ITF. India. F3. Ю. Ито - Д. Сингх;ТБ(18.5) 1xbet;1,75;100000;2500;1;4375;1875;;http://www.sofascore.com/ito-singh/vPxbsfELb;;
12 May 2016, 20:00;Tennis ? Italy ? ATP Rome ? Berdych T. - Goffin D.;П1 mbet;1,57;100000;4000;2;0;-4000;;;;
13 May 2016, 03:30;Basketball ? USA ? NBA ? Oklahoma City Thunder - San Antonio Spurs;ТБ(185.5) william hill;1,3;100000;7000;1;9100;2100;;"http://www.oddsportal.com/basketball/usa/nba/oklahoma-city-thunder-san-antonio-spurs-dh1FvLpn/#ah;1;-8.50;0";;
13 May 2016, 03:30;Basketball ? USA ? NBA ? Oklahoma City Thunder - San Antonio Spurs;П2 mbet;1,8;100000;3000;2;0;-3000;;"http://www.oddsportal.com/basketball/usa/nba/oklahoma-city-thunder-san-antonio-spurs-dh1FvLpn/#ah;1;-8.50;0";;
13 May 2016, 04:00;Hockey ? USA ? NHL ? San Jose Sharks - Nashville Predators;ТБ(4) mbet;1,4;100000;5000;1;7000;2000;;http://www.oddsportal.com/hockey/usa/nhl/san-jose-sharks-nashville-predators-jNC1czjC/;;
13 May 2016, 13:15;Э mbet Soccer ? Australia ? NPL Victoria 1) Bentleigh Greens - Northcote City 2) South Melbourne - Pascoe Vale;Ф1(-1) * Ф1(-1);1,8084;100000;3000;2;0;-3000;;"http://www.oddsportal.com/soccer/australia/npl-victoria/bentleigh-greens-northcote-city-Kx3SUqxF/#ah;2;-1.00;0";;"http://www.oddsportal.com/soccer/australia/npl-victoria/south-melbourne-pascoe-vale-Clc6N1Ul/#ah;2;-1.00;0"
13 May 2016, 02:10;Baseball ? USA ? MLB ? Boston Red Sox - Houston Astros;Ф1(-1) с ОТ mbet;2,06;100000;2000;1;4120;2120;;"http://www.oddsportal.com/baseball/usa/mlb/boston-red-sox-houston-astros-C872aWUQ/#ah;1;-1.00;0";;
13 May 2016, 13:30;Soccer ? Australia ? NPL Victoria ? Melbourne Knights - Avondale FC;Ф1(0) mbet;1,63;100000;3000;2;0;-3000;;;;
13 May 2016, 12:30;Tennis. ITF. India. F3. В. Вардхан - Ш. Имаи;П1 1хbet;1,595;100000;3000;1;4785;1785;;;;
13 May 2016, 12:00;Теннис. ITF. Турция. Ф19. Деннис Новак - Мухаммет Хайлаз;ТБ (17.5) 1xbet;1,74;100000;3000;2;0;-3000;;;;
13 May 2016, 16:30;Tennis ? Italy ? ATP Rome ? Djokovic N. - Nadal R.;П1 mbet;1,36;100000;8000;1;10880;2880;;;;
13 May 2016, 16:15;Hockey ? World ? World Championship ? Czech Republic - Kazakhstan;ИТ2Б(1);1,28;100000;10000;3;10000;0;;;;
13 May 2016, 16:30;Tennis ? Italy ? ATP Rome ? Djokovic N. - Nadal R.;Ф1(-1.5) pinnacle;1,43;100000;5000;1;7150;2150;;"http://www.oddsportal.com/tennis/italy/atp-rome/djokovic-novak-nadal-rafael-Sbp9KpQI/#ah;2;-1.50;2";;
13 May 2016, 22:00;Tennis ? Italy ? ATP Rome ? Thiem D. - Nishikori K.;П2 mbet;1,43;100000;5000;1;7150;2150;;;;
14 May 2016, 03:00;Pittsburgh Penguins - Tampa Bay Lightning;ИТ1Б(2) mbet;1,27;100000;10000;2;0;-10000;;http://www.oddsportal.com/hockey/usa/nhl/pittsburgh-penguins-tampa-bay-lightning-YLzZj1Qe/;;
14 May 2016, 03:00;Pittsburgh Penguins - Tampa Bay Lightning;ТБ (4) mbet;1,363;100000;5000;3;5000;0;;http://www.oddsportal.com/hockey/usa/nhl/pittsburgh-penguins-tampa-bay-lightning-YLzZj1Qe/;;
14 May 2016, 03:00;Basketball ? USA ? NBA ? Miami Heat - Toronto Raptors;ТМ(199.5) wh;1,25;100000;10000;1;12500;2500;;;;
14 May 2016, 03:00;Basketball ? USA ? NBA ? Miami Heat - Toronto Raptors;Ф1(+1);1,48;100000;3000;1;4440;1440;;;;
14 May 2016, 12:15;World ? World Championship ? France - Finland;Ф1(+2.5) в 1 периоде;1,23;100000;5000;1;6150;1150;;;;
14 May 2016, 21:00;Tennis ? Italy ? ATP Rome ? Djokovic N. - Nishikori K.;Ф2(+6) pin;1,47;100000;10000;1;14700;4700;;;;
14 May 2016, 21:00;Tennis ? Italy ? ATP Rome ? Djokovic N. - Nishikori K.;Ф1(+7) pin;1,18;100000;10000;1;11800;1800;;;;
15 May 2016, 02:30;Soccer ? USA ? MLS ? Columbus Crew - Colorado Rapids;Ф2(+1) mbet;1,54;100000;8000;1;12320;4320;;"http://www.oddsportal.com/soccer/usa/mls/columbus-crew-colorado-rapids-ENMSz460/#ah;2;-1.00;0";;
15 May 2016, 02:30;Soccer ? USA ? MLS ? Columbus Crew - Colorado Rapids;X2 bet365;2,05;100000;4000;1;8200;4200;;;;
15 May 2016, 06:30;Tennis ? South Korea ? Seoul Challenger ? Lu Y.H. - Stakhovsky S.;П2 bet365;2;100000;2500;1;5000;2500;;;;
15 May 2016, 09:00;Soccer ? Australia ? Brisbane Premier League ? Queensland Lions - North Pine;Ф1(-2) bet365;1,38;100000;5000;3;5000;0;;;;
15 May 2016, 04:00;Soccer ? USA ? MLS ? FC Dallas - Seattle Sounders;Seattle забьет, да mbet;1,46;100000;5000;2;0;-5000;;;;
15 May 2016, 21:00;КАНАДА: НБЛ - Плей-офф - Полуфиналы Лондон - Виндзор;П1 в 1-й четверти, betcity;1,73;100000;5000;1;8650;3650;;;;
15 May 2016, 18:00;Tennis ? Italy ? ATP Rome ? Djokovic N. - Murray A.;Ф2(+5) 5dimes;1,34;100000;5000;1;6700;1700;;;;
15 May 2016, 17:00;Soccer ? England ? Premier League ? Manchester United - Bournemouth;П1 1xbet;1,41;100000;10000;1;14100;4100;;http://www.oddsportal.com/soccer/england/premier-league/manchester-united-bournemouth-bsZIXK2G/;;
15 May 2016, 19:00;Soccer ? Italy ? Serie A ? Chievo - Bologna;ТМ(3);1,68;100000;5000;1;8400;3400;;"http://www.oddsportal.com/soccer/italy/serie-a/chievo-bologna-zDFyC16o/#over-under;2;3.00;0";;
16 May 2016, 06:10;Badminton ? World ? BWF Thomas Cup Doubles ? Hoki T./Kobayashi Y. - Andres L./Garrido L. R.;Ф2(+18.5) mbet;1,88;100000;2000;2;0;-2000;;"http://www.oddsportal.com/badminton/world/bwf-thomas-cup-doubles/hoki-takuro-kobayashi-yugo-andres-lopez-garrido-luis-ramon-hMBDVMO6/#ah;2;-18.50;3";;
16 May 2016, 20:15;Denmark - Kazakhstan;1-й период TM(2.5) mbet;1,28;100000;8000;2;0;-8000;;http://www.oddsportal.com/hockey/world/world-championship/denmark-kazakhstan-Eu6tAjJh/;;
16 May 2016, 14:00;Tennis ? France ? ATP French Open ? Olivetti A. - Kicker N.;П2 mbet;1,18;100000;8000;1;9440;1440;;;;
16 May 2016, 13:30;Soccer ? South Korea ? K League Challenge ? Bucheon FC 1995 - Gangwon;Обе забьют, да mbet;1,73;100000;5000;1;8650;3650;;http://www.oddsportal.com/soccer/south-korea/k-league-challenge/bucheon-fc-1995-gangwon-hMPoRRAc/;;
16 May 2016, 15:30;Tennis ? France ? ATP French Open ? Bemelmans R. - Monteiro T.;П2 5dimes;1,22;100000;5000;2;0;-5000;;"http://www.oddsportal.com/soccer/england/championship/brighton-sheffield-wed-xQVROsFq/#over-under;2;3.00;0";;
16 May 2016, 21:45;Soccer ? England ? Championship ? Brighton - Sheffield Wed;ТМ (3,5) mbet;1,29;100000;10000;1;12900;2900;;"http://www.oddsportal.com/soccer/england/championship/brighton-sheffield-wed-xQVROsFq/#over-under;2;2.50;0";;
16 May 2016, 21:45;Soccer ? England ? Championship ? Brighton - Sheffield Wed;ТМ (2,5) 5dimes;1,85;100000;3000;1;5550;2550;;;;
16 May 2016, 20:15;Hockey ? World ? World Championship ? Germany - Hungary;Ф1(-2) mbet;1,65;100000;5000;3;5000;0;;;;
17 May 2016, 01:00;Soccer ? Argentina ? Primera Division ? Patronato - Olimpo Bahia Blanca;ИТ2М(1);1,49;100000;5000;1;7450;2450;;;;
17 May 2016, 01:00;Soccer ? Argentina ? Primera Division ? Patronato - Olimpo Bahia Blanca;ИТ2М(0.5);2,31;100000;2000;1;4620;2620;;;;
17 May 2016, 01:00;Soccer ? Argentina ? Primera Division ? Patronato - Olimpo Bahia Blanca;ТМ(3);1,24;100000;8000;1;9920;1920;;;;
17 May 2016, 04:00;Basketball ? USA ? NBA ? Golden State Warriors - Oklahoma City Thunder;П1 c ОТ mbet;1,26;100000;5000;2;0;-5000;;;;
17 May 2016, 02:30;Hockey ? USA ? AHL ? Toronto Marlies - Albany Devils;П1 с ОТ mbet;1,46;100000;5000;1;7300;2300;;"http://www.oddsportal.com/hockey/usa/ahl/toronto-marlies-albany-devils-ll3thIPN/#home-away;1";;
17 May 2016, 03:00;Basketball ? Argentina ? Liga A ? Weber Bahia - Argentino;Ф2(+8.5) pinnacle;1,64;100000;5000;1;8200;3200;;"http://www.oddsportal.com/basketball/argentina/liga-a/weber-bahia-argentino-f3NyzeS5/#home-away;1";;
